Week,Date,W/L,HomeAway,Home_Team,Away_Team,HT_Wins,HT_Losses,HT_Avg_Pts,HT_Avg_Pts_Against,HT_Avg_Yds_Off,HT_Avg_Yds_Allowed,Cardinals,Falcons,Ravens,Bills,Panthers,Bears,Bengals,Browns,Cowboys,Broncos,Lions,Packers,Texans,Colts,Jaguars,Chiefs,Chargers,Rams,Dolphins,Vikings,Patriots,Saints,Giants,Jets,Raiders,Eagles,Steelers,49ers,Seahawks,Buccaneers,Titans,Redskins,Away_Team_Cardinals,Away_Team_Falcons,Away_Team_Ravens,Away_Team_Bills,Opp_Team_Panther,Away_Team_Bears,Away_Team_Bengals,Away_Team_Browns,Away_Team_Cowboys,Away_Team_Broncos,Away_Team_Lions,Away_Team_Packers,Away_Team_Texans,Away_Team_Colts,Away_Team_Jaguars,Away_Team_Chiefs,Away_Team_Dolphins,Away_Team_Vikings,Away_Team_Patriots,Away_Team_Saints,Away_Team_Giants,Away_Team_Jets,Away_Team_Raiders,Away_Team_Eagles,Away_Team_Steelers,Away_Team_49ers,Away_Team_Seahawks,Away_Team_Buccaneers,Away_Team_Titans,Away_Team_Redskins,Away_Team_Chargers,Away_Team_Rams,AT_Wins,AT_Losses,AT_Avg_Pts,AT_Avg_Pts_Against,AT_Avg_Yds_Off,AT_Avg_Yds_Allowed
1,September 7,0,1,Bears,Bills,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,1,1,Broncos,Colts,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,0,1,Buccaneers,Panthers,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 8,1,1,Cardinals,Chargers,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1,September 7,0,1,Chiefs,Titans,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,0,1,Cowboys,49ers,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,1,1,Dolphins,Patriots,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,1,1,Eagles,Jaguars,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,1,1,Falcons,Saints,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,September 7,1,1,Jets,Raiders,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
